tic_id,spectype,Teff,R,M,met,L
TIC 443055162,G2 V,5752.0,1.32,30.298505910360674,-4.51,26.842971929104806
TIC 445064836,M5.5 V,3081.0,0.139,29.38841102180007,-4.61,23.778871929104806
TIC 445751830,M0 V,3913.0,0.62,30.104685884344562,-4.54,25.522491929104806
TIC 445805961,G5 V,5730.0,0.95,30.29414110495822,-4.42,26.534791929104806
TIC 447061717,M3 V,3553.0,0.476,29.98424764896294,-4.499,25.096191929104805
TIC 44898913,M6 V,2850.0,0.1556,29.370387917666797,-4.568,23.741631929104805
TIC 450102450,M3.5 V,3370.0,0.38,29.851174126472866,-4.24,24.786971929104805
TIC 458419328,M2 V,3576.0,0.5,30.014509253995474,-4.441,25.147641929104807
TIC 458478250,G2 V,5899.0,0.996,30.27347790465874,-4.645,26.616801929104806
TIC 458494003,G0 V,5627.0,1.3617,30.247407671330887,-4.85,26.814951929104804
TIC 458686847,M1.0 V,3676.0,0.513,30.024417542655723,-4.76,25.226421929104806
TIC 459323923,M4 V,3363.0,0.351,29.835064352932203,-4.62,24.667551929104807
TIC 459826435,M4.0 V,3324.0,0.281,29.729869674519662,-4.54,24.520991929104806
TIC 4646810,K V,4757.0,0.762,30.196133001651116,-4.52,26.014331929104806
TIC 466206508,G3 V,5700.0,1.058,30.247895917005586,-4.75,27.639971929104806
TIC 466222634,F8 V,5988.0,1.53,30.25754730268177,-5.0200000000000005,27.012971929104808
TIC 466376085,K V,4596.0,0.69,30.14360395037493,-4.59,25.866271929104805
TIC 467179528,M3 V,3618.0,0.436,29.932983180521404,-4.735,25.045371929104807
TIC 467929202,M4 V,3250.0,0.215,29.548925912669567,-4.25,24.245731929104807
TIC 468723402,K0 V,5075.0,0.7821,30.20699092923932,-4.68,26.144971929104805
TIC 471012766,M4.5 V,3236.0,0.192,29.548925912669567,-4.58,24.144071929104808
TIC 48974071,G3/G5 V,5631.0,1.903,30.3776871564083,-4.32,27.098841929104807
TIC 4918918,M2.5 V,3542.0,0.406,29.90596093357534,-4.71,24.953111929104807
TIC 5078530,K4 V,4640.0,0.68,30.16182877048113,-4.45,26.772971929104806
TIC 52005579,M4 V,3253.0,0.269,29.68052295293554,-4.83,24.452201929104806
TIC 52368076,K0 V,5320.0,0.848,30.232499074191914,-4.56,26.298141929104805
TIC 53895723,G5 V,5726.0,0.89,30.319695209430613,-4.4,26.472971929104805
TIC 56399553,K1 V,5222.0,0.748,30.235019652839565,-4.54,26.155841929104806
TIC 56754291,M0.0 V,3940.0,0.631,30.11408365868494,-4.45,25.522491929104806
TIC 56815340,F5 V,6290.0,1.18,30.327889688045882,-4.78,26.873001929104806
TIC 61397572,G5 V,5585.0,1.25,30.3398985955189,-4.26,26.838241929104807
TIC 640381384,M3 V,3341.0,0.32,29.81701985023856,-4.75,24.652971929104805
TIC 68581262,M3.0 V,3451.0,0.364,29.854808411127962,-4.57,24.810861929104806
TIC 69679391,A2 V,8720.0,1.565,30.54401857817482,-4.83,27.686771929104808
TIC 70298662,M(3.5+/-0.5) V,3300.0,0.196,29.539055158643272,-4.78,24.195751929104805
TIC 7088246,G V,5780.0,1.199,30.348111522955648,-4.26,26.738311929104807
TIC 70899085,M0.0 V,3950.0,0.584,30.069357922002816,-4.13,25.458031929104806
TIC 73540072,K2.5 V,4985.0,0.808,30.221231368353934,-4.43,26.150701929104805
TIC 73717937,G V,5846.0,1.091,30.351968515286128,-4.24,26.676391929104806
TIC 75377076,K5 V,4714.0,0.69,30.16773763009165,-4.57,25.904971929104807
TIC 75878355,K5 V,4580.0,0.709,30.170078845906552,-4.42,25.866271929104805
TIC 77044471,G3 V,5738.0,1.238,30.28527764462692,-4.64,26.756161929104806
TIC 77287067,F9 V,6057.0,1.24,30.302827284143316,-4.8,26.866271929104805
TIC 79611981,M5.5 V,2953.0,0.156,29.3776871564083,-4.62,23.813421929104805
TIC 82050863,M2.5 V,3390.0,0.31,29.775627165080337,-4.79,24.662151929104805
TIC 82308728,K1 V,5212.0,0.728,30.227924836074965,-4.7700000000000005,26.128281929104805
TIC 83092282,F6 V,6400.0,1.415,30.416770636450153,-4.45,27.057041929104805
TIC 83181153,M1.0 V,3785.0,0.52,30.046693937366875,-4.67,25.273171929104805
TIC 89020549,G8 V,5397.0,0.9,30.28527764462692,-4.38,26.361121929104804
TIC 9001920,K7 V,4120.0,0.68,30.11141926700353,-4.3,25.658521929104808
TIC 9001924,M2 V,3663.0,0.548,30.03250519689906,-4.46,25.264211929104807
TIC 9155187,G8 V,5470.0,1.08,30.24298858251084,-4.49,26.522971929104806
TIC 9156146,G3 V,5921.0,1.07,30.315539249659455,-4.54,26.675971929104804
TIC 92226327,M4.5 V,3096.0,0.2159,29.564266827078285,-4.69,24.162751929104807
TIC 92300251,F8 V,6101.0,1.53,30.38129128067712,-4.49,27.052971929104807
TIC 97825640,K4 V,4672.0,0.76,30.184996635533157,-4.58,25.845421929104806
