tic_id,gaia_id,spectype,M,L,Teff,R,met
TIC 176220787,2441013811932929280,F,30.44772502301605,27.386136818585484,6426.0034,2.0701,-4.72
TIC 176685457,5678340222972504832,F,30.42561070872548,26.936080567882517,5996.072,1.3884,-4.23
TIC 176868262,3596250888028092160,K,30.16300807580399,25.822030090539464,4510.6553,0.6713,-4.87
TIC 176868951,3580920878437938688,K,30.203221455639355,26.138018493645262,5071.8384,0.7758,-4.58
TIC 176940024,3584074380866605440,G,30.23300436160424,26.321408494658808,5246.0728,0.9147,-4.51
TIC 178162579,3046327742219111808,F,30.353501771889814,26.81559616145439,5923.166,1.2344,-4.307
TIC 178217113,665757593450097920,F,30.36296389958759,26.945175077433507,5984.184,1.3808,-4.53
TIC 178246831,662705555330268928,G,30.26698885891461,26.523737959296998,5228.457,1.1627,-4.46
TIC 178289267,5094406193214399616,G,30.309653271136472,26.495110411480532,5642.989,0.9436,-4.272
TIC 178367144,3070964117005132416,F,30.41244926266751,26.876662045788045,6159.332,1.2244,-4.44
TIC 17865622,1896138833241139584,G,30.332331604313982,26.860874323296702,6005.599,1.2817,-4.364
TIC 178819686,6140553127216043648,G,30.260875246030693,26.440408441594993,5541.941,0.9213,-4.53
TIC 178879588,4891362198412001408,G,30.267455591342017,26.575933418041057,5573.8745,1.034,-4.4590000000000005
TIC 179034327,4895489043507741440,K,30.28077714340024,26.160205467162534,5005.3647,0.8171,-4.46
TIC 180695581,1476485996883837184,K,30.204193878072527,25.919756205144957,4591.5635,0.7359,-4.496
TIC 183985250,2307504062045842688,G,30.30710608212259,26.432798710723763,5329.032,0.9873,-4.29
TIC 185335907,2081875484241210240,F,30.355029634439774,26.855473335130117,5932.708,1.0919,-4.74
TIC 186810676,239050153051494272,M,30.107391777720487,25.654921445717726,4227.0264,0.6501,-4.1
TIC 186814470,656201703533465088,K,30.11804984590254,25.767631585341245,4408.6704,0.6723,-4.7700000000000005
TIC 187273748,3613442989278322432,F,30.30710608212259,26.502440590442706,5477.443,1.0069,-4.46
TIC 187960878,4083952670840373504,G,30.263236831414304,26.36306701805562,5543.4985,0.8223,-4.567
TIC 190496853,5524780333100885888,F,30.459574295831846,27.32517432459758,6749.451,1.713,-4.64
TIC 193032655,5461620846141553024,G,30.230956336155856,26.4465039301072,5538.2485,0.9233,-4.7205
TIC 19342878,3062565055055954304,G,30.319695209430613,26.635254553392333,5655.546,1.0718,-4.54
TIC 193641523,5880886001621564928,K,30.14976425907975,25.878889572307013,4506.4727,0.7255,-4.632
TIC 194795551,4042548116644168832,G,30.305399618308574,26.468823361313042,5442.2124,0.9778,-4.392
TIC 19631691,3402798414192387328,G,30.2084511326286,26.471796854413956,5487.724,0.9789,-4.8657
TIC 197215129,685749360542215296,G,30.302827284143316,26.67125980772592,5755.78,1.105,-4.6
TIC 197241396,660400738439361280,G,30.26698885891461,26.3889662432203,5456.1943,0.8686,-4.61
TIC 197246627,685818492336147072,M,29.98870199038919,25.279778089135416,3762.9597,0.5292,-4.64
TIC 197643976,6585082036193768832,K,30.25178224702798,26.27180901975251,5279.454,0.8061,-4.44
TIC 198108326,1499514786891168640,K,30.1636098850018,25.896910393375578,4507.6455,0.7393,-4.83
TIC 198241702,1635108588053258752,G,30.254049352820417,26.37308192804034,5554.02,0.8494,-4.589
TIC 198356533,1433416717674304640,F,30.3398985955189,26.849234324178045,5951.1514,1.2775,-5.0324
TIC 198562505,1359938520253565952,G,30.24298858251084,26.353626572873374,5419.562,0.868,-4.645
TIC 199376584,2056007995732413312,F,30.364533505309534,26.887430053833167,6031.483,1.3024,-4.497
TIC 201177276,6521531466699512064,M,30.10806562499594,25.57958393636313,3800.295,0.7453,-4.039
TIC 201642601,6638412919991750912,K,30.16057762974067,25.938506926344854,4607.9365,0.7514,-4.354
TIC 202425357,1616054670018575872,G,30.36483183572271,26.910507266420453,5967.8955,1.3889,-4.358
TIC 202426247,1620024491110370688,G,30.29414110495822,26.482982019402765,5577.3486,0.9548,-4.5
TIC 20375215,5452634262730082176,K,30.13735500109793,25.93405773050962,4588.8623,0.7481,-4.76
TIC 20536788,651370037123678080,G,30.2527484198,26.335896361051027,5492.3477,0.812,-4.65
TIC 206541859,4910452812646300544,F,30.374052871753204,26.896074652937067,5958.1304,1.3428,-4.44
TIC 207110080,4727755005637190016,F,30.428517860032578,27.15283905701834,6386.467,1.5422,-4.544
TIC 207141131,4728513943538448512,K,30.205379445082745,26.16349244045071,5009.829,0.8217,-4.59
TIC 207468071,1428639816392087552,F,30.38841102180007,27.144413322383755,6198.613,1.6567,-4.67
TIC 20856917,6029992663310612096,G,30.25754730268177,26.42989268235093,5421.711,0.9654,-4.26
TIC 209459275,5057924844082070016,G,30.309653271136472,26.803451235391115,5866.2603,1.2153,-4.609
TIC 209464063,5048310370810634624,G,30.255154489565875,26.441432001439725,5494.9414,0.9343,-4.54
TIC 210083929,2736716262948031872,G,30.415777206016436,26.746861545036477,5848.7256,1.1749,-4.26
TIC 21247758,658060049982487040,F,30.38841102180007,26.89888943495975,6067.373,1.2889,-4.44
TIC 21267079,951427000863064192,G,30.325454885344655,26.54646954758341,5592.4697,1.0398,-4.2399000000000004
TIC 21276520,657756997089784960,G,30.24298858251084,26.336069984400122,5320.6367,0.8826,-4.62
TIC 21535395,778052193462283648,G,30.262104872957913,26.519980320387695,5636.447,0.9786,-4.733
TIC 21832928,1334288219648212352,F,30.3092721438791,26.75105672029541,5949.9424,1.1453,-4.61
TIC 219344917,4783664690873269888,K,30.178175115992726,26.043577186605294,4918.331,0.7379,-4.61
TIC 219780306,1439069444391326208,M,30.03886859985492,25.340969263393198,3691.4407,0.5943,-4.69
TIC 219852584,1636690613486307840,F,30.438384996761908,27.195917627570207,6412.8975,1.7041,-4.28
TIC 219857012,1651818622174190208,G,30.334375724056226,26.69861253331526,5736.534,1.1579,-4.347
TIC 220022156,4743692151804240896,K,30.18556028841163,26.13926136013765,4996.711,0.8022,-4.75
TIC 220076110,3222453935725951488,G,30.32503917488397,26.593035632663224,5736.4746,1.0409,-4.301
TIC 220604190,6246622017519183616,G,30.213905745572944,26.625379860397707,5807.8027,1.0186,-4.561
TIC 221861843,5927041953543630592,K,30.221231368353934,26.094521415981433,4925.621,0.7765,-4.257
TIC 22221375,5660492297395345408,F,30.3066800943671,26.65529848941148,5805.1826,1.0751,-4.522
TIC 224225541,6539037542941988736,G,30.31386566576989,26.565087107514774,5755.085,0.9838,-4.646
